Equipo;Puntos;Partidos Jugados;Victorias;Empates;Derrotas;Goles a Favor;Goles en Contra;Diferencia de Goles;Porcentaje de Puntos;Ultimos 5 Partidos;Posicion Liga;Variacion de Posicion;Racha Victorias;Racha Empates;Racha Derrotas;AVG Goles Marcados;AVG Goles Recibidos;Partidos Local;Ganados Local;Empatados Local;Perdidos Local;Puntos Local;Porcentaje Localia;Partidos Visitante;Ganados Visitante;Empatados Visitante;Perdidos Visitante;Puntos Visitante;Porcentaje Visitante;Porcentaje de liga Jugado;Partidos por Jugar;Nivel Division Actual;Puntos por Partido;Proyeccion de puntos finales;Puntos Ultimos 3 partidos;Promedio goleador;Promedio goles en contra;Media goles por partido;Ascendido este aï¿½o de segunda;Trofeos de campeon de Primera division;Trofeos de campeon de Segunda division;Trofeos de campeon de Tercera division;Otros Trofeos;Trofeos Totales (Incluyendo otras Copas);ELO Rating;Division 2021;Division 2022;Division 2023;Division 2024;Puntos 2021;Puntos Por Partido 2021;Puntos 2022;Puntos Por Partido 2022;Puntos 2023;Puntos Por Partido 2023;Puntos 2024;Puntos Por Partido 2024;Varianza de puntos
Everton;15;5;5;0;0;16;6;10;100.0;15;1;0;5;0;0;3,2;1,2;2;2;0;0;6;1;3;3;0;0;9;1;0,109;41;1;3;123;9;3,20;1,20;4,40;0;0;0;0;0;0;86;1;1;1;1;81;1,929;77;1,833;44;1,467;31;1,033;0,16551
Aston Villa;13;5;4;1;0;17;4;13;86.7;13;2;0;2;0;0;3,4;0,8;3;3;0;0;9;1;2;1;1;0;4;0,666666667;0,109;41;1;2,6;107;7;3,40;0,80;4,20;0;1;1;0;3;5;95;2;1;1;1;110;2,391;89;2,119;67;2,233;67;2,233;0,01251
Hull City;10;5;3;1;1;14;8;6;66.7;10;3;2;0;1;0;2,8;1,6;3;1;1;1;4;0,444444444;2;2;0;0;6;1;0,109;41;1;2;82;4;2,80;1,60;4,40;0;0;0;0;1;1;93;1;1;1;1;83;1,976;89;2,119;61;2,033;67;2,233;0,01252
Bipolares F.C.;10;5;3;1;1;12;10;2;66.7;10;4;-1;0;0;1;2,4;2;2;1;1;0;4;0,666666667;3;2;0;1;6;0,666666667;0,109;41;1;2;82;6;2,40;2,00;4,40;0;0;0;0;1;1;90;1;1;1;1;83;1,976;77;1,833;51;1,700;54;1,800;0,01305
Northampton F.C.;9;5;3;0;2;14;9;5;60.0;9;5;-1;0;0;1;2,8;1,8;2;1;0;1;3;0,5;3;2;0;1;6;0,666666667;0,109;41;1;1,8;74;6;2,80;1,80;4,60;0;0;0;0;0;0;82;1;2;2;1;32;0,762;56;1,217;64;2,133;55;1,833;0,37871
Gillingham;9;5;3;0;2;11;10;1;60.0;9;6;0;0;0;1;2,2;2;2;2;0;0;6;1;3;1;0;2;3;0,333333333;0,109;41;1;1,8;74;3;2,20;2,00;4,20;0;0;0;0;0;0;79;1;1;1;1;37;0,881;38;0,905;38;1,267;26;0,867;0,03683
Bladequack F.C.;9;5;2;3;0;14;7;7;60.0;9;7;0;0;1;0;2,8;1,4;2;2;0;0;6;1;3;0;3;0;3;0,333333333;0,109;41;1;1,8;74;5;2,80;1,40;4,20;0;0;0;0;0;0;91;1;1;1;1;63;1,500;76;1,810;54;1,800;50;1,667;0,02099
Golden Wind;8;5;2;2;1;10;6;4;53.3;8;8;0;0;2;0;2;1,2;2;0;1;1;1;0,166666667;3;2;1;0;7;0,777777778;0,109;41;1;1,6;66;5;2,00;1,20;3,20;0;0;0;0;2;2;92;1;1;1;1;82;1,952;78;1,857;58;1,933;55;1,833;0,00333
Reading FC;8;5;2;2;1;7;6;1;53.3;8;9;7;1;0;0;1,4;1,2;2;1;1;0;4;0,666666667;3;1;1;1;4;0,444444444;0,109;41;1;1,6;66;4;1,40;1,20;2,60;0;0;1;0;0;1;84;2;2;1;1;71;1,543;87;1,891;46;1,533;40;1,333;0,05373
West Bromwich Albion;8;5;2;2;1;10;10;0;53.3;8;10;5;1;0;0;2;2;3;2;1;0;7;0,777777778;2;0;1;1;1;0,166666667;0,109;41;1;1,6;66;6;2,00;2,00;4,00;1;0;0;0;0;0;76;2;2;2;2;54;1,174;59;1,283;46;1,533;51;1,700;0,05689
Ipswich Town;7;5;2;1;2;7;8;-1;46.7;7;11;0;0;1;0;1,4;1,6;2;1;0;1;3;0,5;3;1;1;1;4;0,444444444;0,109;41;1;1,4;57;7;1,40;1,60;3,00;0;0;0;0;0;0;85;1;1;1;1;84;2,000;87;2,071;39;1,300;39;1,300;0,18128
Blackburn Rovers;7;5;2;1;2;9;12;-3;46.7;7;12;-3;0;0;1;1,8;2,4;2;1;1;0;4;0,666666667;3;1;0;2;3;0,333333333;0,109;41;1;1,4;57;4;1,80;2,40;4,20;0;0;0;0;0;0;84;1;1;1;1;52;1,238;42;1,000;40;1,333;38;1,267;0,02110
KFC Nise Team;7;5;1;4;0;10;9;1;46.7;7;13;-1;0;4;0;2;1,8;3;1;2;0;5;0,555555556;2;0;2;0;2;0,333333333;0,109;41;1;1,4;57;3;2,00;1,80;3,80;0;2;0;0;0;2;93;1;1;1;1;85;2,024;92;2,190;58;1,933;62;2,067;0,01142
Exeter City;6;5;2;0;3;9;9;0;40.0;6;14;-4;0;0;3;1,8;1,8;3;1;0;2;3;0,333333333;2;1;0;1;3;0,5;0,109;41;1;1,2;49;0;1,80;1,80;3,60;0;0;0;0;2;2;89;1;1;1;1;83;1,976;92;2,190;48;1,600;59;1,967;0,06006
Southampton F.C.;6;5;2;0;3;12;14;-2;40.0;6;15;4;1;0;0;2,4;2,8;3;2;0;1;6;0,666666667;2;0;0;2;0;0;0,109;41;1;1,2;49;6;2,40;2,80;5,20;1;0;0;0;1;1;74;1;1;1;2;41;0,976;37;0,881;36;0,973;62;2,067;0,31740
Wycombe Wanderers;6;5;1;3;1;9;9;0;40.0;6;16;-2;0;3;0;1,8;1,8;2;1;1;0;4;0,666666667;3;0;2;1;2;0,222222222;0,109;41;1;1,2;49;3;1,80;1,80;3,60;0;0;0;0;0;0;81;1;1;1;1;46;1,095;65;1,548;48;1,600;37;1,233;0,05954
Millwall;5;5;1;2;2;11;12;-1;33.3;5;17;-4;0;0;1;2,2;2,4;3;0;1;2;1;0,111111111;2;1;1;0;4;0,666666667;0,109;41;1;1;41;1;2,20;2,40;4,60;0;1;0;0;3;4;94;1;1;1;1;86;2,048;90;2,143;60;2,000;69;2,300;0,01751
AFC Bournemouth;5;5;1;2;2;7;10;-3;33.3;5;18;2;1;0;0;1,4;2;3;0;2;1;2;0,222222222;2;1;0;1;3;0,5;0,109;41;1;1;41;5;1,40;2,00;3,40;0;0;0;0;0;0;75;2;2;1;1;82;1,783;85;2,024;42;1,135;39;1,054;0,22874
Wolverhampton;5;5;1;2;2;5;8;-3;33.3;5;19;-2;0;1;0;1;1,6;2;1;1;0;4;0,666666667;3;0;1;2;1;0,111111111;0,109;41;1;1;41;4;1,00;1,60;2,60;0;0;0;0;1;1;77;2;2;1;1;70;1,522;87;1,891;34;1,133;40;1,081;0,14294
Wigan Athletic;4;5;1;1;3;6;11;-5;26.7;4;20;2;1;0;0;1,2;2,2;3;1;1;1;4;0,444444444;2;0;0;2;0;0;0,109;41;1;0,8;33;4;1,20;2,20;3,40;1;0;0;0;0;0;70;2;2;2;2;61;1,326;67;1,457;42;1,400;50;1,667;0,02141
Inca F.C.;3;5;1;0;4;8;14;-6;20.0;3;21;2;1;0;0;1,6;2,8;3;1;0;2;3;0,333333333;2;0;0;2;0;0;0,109;41;1;0,6;25;3;1,60;2,80;4,40;1;0;0;0;0;0;69;2;1;1;2;83;1,804;29;0,690;21;0,568;48;1,600;0,39336
Middlesbrough FC;3;5;1;0;4;7;13;-6;20.0;3;22;-4;0;0;1;1,4;2,6;3;0;0;3;0;0;2;1;0;1;3;0,5;0,109;41;1;0,6;25;0;1,40;2,60;4,00;0;0;0;0;0;0;76;2;2;2;1;77;1,674;84;1,826;48;1,600;29;0,967;0,14330
Norwich City;2;5;0;2;3;7;14;-7;13.3;2;23;-2;0;2;0;1,4;2,8;3;0;1;2;1;0,111111111;2;0;1;1;1;0,166666667;0,109;41;1;0,4;16;2;1,40;2,80;4,20;0;0;0;0;0;0;76;1;1;1;1;53;1,262;33;0,786;27;0,900;34;0,919;0,04221
Sylver Stone;0;5;0;0;5;8;21;-13;0.0;0;24;0;0;0;5;1,6;4,2;2;0;0;2;0;0;3;0;0;3;0;0;0,109;41;1;0;0;0;1,60;4,20;5,80;1;0;1;1;0;2;72;3;3;3;2;75;1,630;78;1,696;46;1,533;49;1,633;0,00449
